,Airline,Total_Stops,Price,j_month,j_date,a_total_min,d_total_min,dur_min,dur_hour,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,s_Banglore,s_Chennai,s_Delhi,s_Kolkata,s_Mumbai
1306,3,0,4591,5,24,140,1410,50,2,0,0,1,0,0,0,1,0,0,0,0
1307,4,1,9663,5,6,1190,990,20,27,1,0,0,0,0,0,0,0,0,1,0
1308,6,1,8266,5,15,1155,525,30,10,0,1,0,0,0,0,0,0,1,0,0
1309,3,0,4823,5,6,605,430,55,2,0,0,1,0,0,0,1,0,0,0,0
1310,1,0,6094,5,21,1270,1085,5,3,0,1,0,0,0,0,0,0,1,0,0
1311,4,1,14178,5,24,280,1270,30,7,1,0,0,0,0,0,0,0,0,1,0
1312,4,2,13376,6,9,755,405,50,29,0,1,0,0,0,0,0,0,1,0,0
1313,1,0,2575,3,24,1345,1265,20,1,0,0,0,1,0,0,0,0,0,0,1
1314,10,1,12395,3,6,1195,450,25,12,0,0,0,1,0,0,0,0,0,0,1
1315,3,1,10351,3,27,1260,550,50,11,0,1,0,0,0,0,0,0,1,0,0
1316,0,1,5192,5,21,1410,455,55,15,1,0,0,0,0,0,0,0,0,1,0
1317,6,1,7670,5,15,1260,770,10,8,0,1,0,0,0,0,0,0,1,0,0
1318,1,2,11161,3,18,1330,665,5,35,0,0,0,0,0,1,1,0,0,0,0
1319,4,1,14151,5,24,1080,1225,35,21,1,0,0,0,0,0,0,0,0,1,0
1320,3,1,4775,5,6,1205,915,50,4,1,0,0,0,0,0,0,0,0,1,0
1321,1,2,12865,3,6,565,785,20,20,0,1,0,0,0,0,0,0,1,0,0
1322,1,0,5462,3,6,1245,1170,15,1,0,0,0,1,0,0,0,0,0,0,1
1323,8,1,8382,3,9,680,370,10,5,0,1,0,0,0,0,0,0,1,0,0
1324,4,0,4544,4,24,1245,1065,0,3,0,0,1,0,0,0,1,0,0,0,0
1325,4,0,4544,4,1,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
1326,4,1,14781,5,18,1415,990,5,7,1,0,0,0,0,0,0,0,0,1,0
1327,8,1,5158,5,27,795,525,30,4,0,1,0,0,0,0,0,0,1,0,0
1328,4,0,5678,3,21,1040,950,30,1,0,0,0,1,0,0,0,0,0,0,1
1329,4,2,18804,6,9,1140,700,20,7,0,1,0,0,0,0,0,0,1,0,0
1330,3,0,4049,6,3,640,550,30,1,0,0,0,1,0,0,0,0,0,0,1
1331,3,0,6565,3,24,775,610,45,2,1,0,0,0,0,0,0,0,0,1,0
1332,4,1,12373,5,18,755,1095,20,18,0,1,0,0,0,0,0,0,1,0,0
1333,1,0,4441,3,18,1185,1020,45,2,0,0,0,0,0,1,1,0,0,0,0
1334,8,0,3597,5,18,1205,1065,20,2,0,0,0,0,1,0,0,1,0,0,0
1335,4,0,5678,6,18,1265,1175,30,1,0,0,0,1,0,0,0,0,0,0,1
1336,1,2,10660,3,9,565,585,40,23,0,1,0,0,0,0,0,0,1,0,0
1337,4,0,4544,4,21,525,360,45,2,0,0,1,0,0,0,1,0,0,0,0
1338,3,0,4823,5,24,680,510,50,2,0,0,1,0,0,0,1,0,0,0,0
1339,1,2,14214,5,9,1395,870,45,8,1,0,0,0,0,0,0,0,0,1,0
1340,4,1,14781,5,1,980,505,55,7,1,0,0,0,0,0,0,0,0,1,0
1341,6,1,23533,3,1,95,1140,35,6,0,1,0,0,0,0,0,0,1,0,0
1342,4,1,14053,3,9,1130,1155,35,23,0,1,0,0,0,0,0,0,1,0,0
1343,4,1,10262,6,27,1140,1310,10,21,0,1,0,0,0,0,0,0,1,0,0
1344,3,0,4823,6,21,1370,1200,50,2,0,0,1,0,0,0,1,0,0,0,0
1345,1,1,8361,5,18,495,1060,35,14,0,1,0,0,0,0,0,0,1,0,0
1346,1,2,10493,6,9,1155,355,20,37,0,1,0,0,0,0,0,0,1,0,0
1347,6,1,17057,3,3,800,425,15,6,0,1,0,0,0,0,0,0,1,0,0
1348,1,2,12392,5,18,1155,1035,0,26,0,1,0,0,0,0,0,0,1,0,0
1349,3,1,5883,6,12,90,685,5,14,0,1,0,0,0,0,0,0,1,0,0
1350,4,1,12898,5,21,1140,690,30,7,0,1,0,0,0,0,0,0,1,0,0
1351,4,1,16079,5,21,1140,135,45,16,0,1,0,0,0,0,0,0,1,0,0
1352,6,1,10678,6,12,755,295,40,7,0,1,0,0,0,0,0,0,1,0,0
1353,1,2,20999,3,1,670,405,25,28,0,0,0,0,0,1,1,0,0,0,0
1354,3,1,6575,3,21,35,1175,0,5,0,0,0,0,0,1,1,0,0,0,0
1355,4,2,15129,5,21,265,1170,55,8,0,1,0,0,0,0,0,0,1,0,0
1356,4,1,10844,6,6,1095,1135,20,23,1,0,0,0,0,0,0,0,0,1,0
1357,1,1,11654,3,3,1425,570,15,14,0,0,0,0,0,1,1,0,0,0,0
1358,3,1,5069,4,1,780,490,50,4,1,0,0,0,0,0,0,0,0,1,0
1359,1,0,5176,4,1,535,370,45,2,0,0,1,0,0,0,1,0,0,0,0
1360,4,2,13292,6,9,265,330,55,22,0,1,0,0,0,0,0,0,1,0,0
1361,3,1,6386,6,6,465,120,45,5,0,1,0,0,0,0,0,0,1,0,0
1362,4,2,15129,5,21,1140,805,35,29,0,1,0,0,0,0,0,0,1,0,0
1363,1,0,4435,3,6,1400,1245,35,2,1,0,0,0,0,0,0,0,0,1,0
1364,3,0,4591,5,18,140,1410,50,2,0,0,1,0,0,0,1,0,0,0,0
1365,4,1,7832,3,21,1380,345,15,17,0,0,0,0,0,1,1,0,0,0,0
1366,3,0,4174,4,12,435,280,35,2,1,0,0,0,0,0,0,0,0,1,0
1367,6,1,6148,3,27,930,420,30,8,0,1,0,0,0,0,0,0,1,0,0
1368,6,1,9149,5,27,1155,555,0,10,0,1,0,0,0,0,0,0,1,0,0
1369,6,2,6128,3,27,1280,785,15,8,0,1,0,0,0,0,0,0,1,0,0
1370,3,1,6412,3,27,1340,970,10,6,0,1,0,0,0,0,0,0,1,0,0
1371,6,1,8073,5,18,1260,480,0,13,0,1,0,0,0,0,0,0,1,0,0
1372,4,0,4256,6,24,855,660,15,3,0,1,0,0,0,0,0,0,1,0,0
1373,1,2,14634,5,12,325,600,25,19,1,0,0,0,0,0,0,0,0,1,0
1374,6,1,14067,5,21,1260,780,0,8,0,1,0,0,0,0,0,0,1,0,0
1375,3,0,4804,5,6,1085,930,35,2,1,0,0,0,0,0,0,0,0,1,0
1376,8,0,4911,4,21,1180,1030,30,2,1,0,0,0,0,0,0,0,0,1,0
1377,3,1,6412,6,9,1350,970,20,6,0,1,0,0,0,0,0,0,1,0,0
1378,8,0,3543,6,15,635,500,15,2,0,0,0,0,1,0,0,1,0,0,0
1379,3,0,3858,6,6,840,695,25,2,0,0,0,0,1,0,0,1,0,0,0
1380,1,2,9941,5,15,475,720,55,19,1,0,0,0,0,0,0,0,0,1,0
1381,4,0,7229,4,9,680,500,0,3,0,0,1,0,0,0,1,0,0,0,0
1382,2,1,8352,3,3,1215,945,30,4,0,0,0,0,0,1,1,0,0,0,0
1383,4,1,14151,5,12,1325,575,30,12,1,0,0,0,0,0,0,0,0,1,0
1384,6,1,6795,6,6,90,1065,45,7,0,1,0,0,0,0,0,0,1,0,0
1385,3,0,4804,5,3,1375,1220,35,2,1,0,0,0,0,0,0,0,0,1,0
1386,1,1,6587,6,6,410,315,35,25,0,1,0,0,0,0,0,0,1,0,0
1387,2,1,4106,4,3,815,445,10,6,0,1,0,0,0,0,0,0,1,0,0
1388,1,0,5510,4,18,1005,855,30,2,1,0,0,0,0,0,0,0,0,1,0
1389,4,2,15129,5,9,1140,580,20,9,0,1,0,0,0,0,0,0,1,0,0
1390,4,2,13029,5,9,265,580,45,18,0,1,0,0,0,0,0,0,1,0,0
1391,3,1,6582,6,15,750,435,15,5,0,1,0,0,0,0,0,0,1,0,0
1392,6,1,5797,6,27,90,1065,45,7,0,1,0,0,0,0,0,0,1,0,0
1393,4,1,12692,6,12,655,1225,30,14,1,0,0,0,0,0,0,0,0,1,0
1394,8,0,3332,3,27,635,500,15,2,0,0,0,0,1,0,0,1,0,0,0
1395,1,2,10151,6,9,475,720,55,19,1,0,0,0,0,0,0,0,0,1,0
1396,3,1,5046,4,6,445,120,25,5,0,1,0,0,0,0,0,0,1,0,0
1397,1,1,8907,6,15,1380,370,50,16,0,1,0,0,0,0,0,0,1,0,0
1398,1,0,5228,5,6,1435,1265,50,2,0,0,1,0,0,0,1,0,0,0,0
1399,3,1,13753,3,3,610,335,35,4,0,1,0,0,0,0,0,0,1,0,0
1400,4,1,11087,3,9,1280,535,25,12,0,0,0,0,0,1,1,0,0,0,0
1401,4,1,14781,5,18,1415,845,30,9,1,0,0,0,0,0,0,0,0,1,0
1402,3,0,5224,5,6,845,690,35,2,1,0,0,0,0,0,0,0,0,1,0
1403,4,0,3702,5,6,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
1404,3,0,2754,3,18,1230,1145,25,1,0,0,0,1,0,0,0,0,0,0,1
1405,0,0,3383,5,24,835,670,45,2,0,0,1,0,0,0,1,0,0,0,0
1406,1,0,5228,4,15,970,800,50,2,0,0,1,0,0,0,1,0,0,0,0
1407,3,1,5054,5,27,90,1225,5,5,0,1,0,0,0,0,0,0,1,0,0
1408,4,1,13555,3,18,1150,535,15,10,0,0,0,0,0,1,1,0,0,0,0
1409,6,1,7408,6,1,90,1020,30,8,0,1,0,0,0,0,0,0,1,0,0
1410,3,0,5224,5,24,1015,865,30,2,1,0,0,0,0,0,0,0,0,1,0
1411,3,1,9694,3,1,1025,730,55,4,0,0,0,0,0,1,1,0,0,0,0
1412,3,1,7318,3,21,95,1030,25,8,0,1,0,0,0,0,0,0,1,0,0
1413,3,1,5054,5,21,730,455,35,4,0,1,0,0,0,0,0,0,1,0,0
1414,4,0,4030,5,1,1320,1135,5,3,0,0,1,0,0,0,1,0,0,0,0
1415,4,1,16736,3,6,1105,480,25,10,0,0,0,0,0,1,1,0,0,0,0
1416,1,0,2050,3,18,1245,1170,15,1,0,0,0,1,0,0,0,0,0,0,1
1417,1,2,9977,3,12,890,95,15,13,0,0,0,1,0,0,0,0,0,0,1
1418,4,2,10368,6,6,265,330,55,22,0,1,0,0,0,0,0,0,1,0,0
1419,3,1,6755,3,9,820,465,55,5,0,1,0,0,0,0,0,0,1,0,0
1420,4,0,3502,5,15,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
1421,1,0,6961,6,24,765,600,45,2,0,0,1,0,0,0,1,0,0,0,0
1422,4,0,4544,4,9,1125,950,55,2,0,0,1,0,0,0,1,0,0,0,0
1423,8,0,3841,5,18,1045,895,30,2,1,0,0,0,0,0,0,0,0,1,0
1424,4,2,24115,3,6,1010,860,30,26,0,0,0,1,0,0,0,0,0,0,1
1425,10,1,9502,5,24,545,430,55,25,1,0,0,0,0,0,0,0,0,1,0
1426,1,0,3100,4,1,460,380,20,1,0,0,0,1,0,0,0,0,0,0,1
1427,8,0,4319,4,15,515,355,40,2,0,0,1,0,0,0,1,0,0,0,0
1428,3,0,2227,5,1,1300,1205,35,1,0,0,0,1,0,0,0,0,0,0,1
1429,8,0,5831,3,24,40,1340,20,2,1,0,0,0,0,0,0,0,0,1,0
1430,3,0,4804,6,9,5,1285,40,2,1,0,0,0,0,0,0,0,0,1,0
1431,3,1,5458,6,6,730,455,35,4,0,1,0,0,0,0,0,0,1,0,0
1432,4,0,7229,6,9,1320,1135,5,3,0,0,1,0,0,0,1,0,0,0,0
1433,4,1,14571,6,6,605,1135,10,15,1,0,0,0,0,0,0,0,0,1,0
1434,8,0,3919,6,9,5,1270,55,2,0,0,1,0,0,0,1,0,0,0,0
1435,6,1,6916,3,9,970,425,5,9,0,1,0,0,0,0,0,0,1,0,0
1436,4,1,6960,3,27,265,780,25,15,0,1,0,0,0,0,0,0,1,0,0
1437,4,1,16757,3,6,865,585,40,4,0,0,0,0,0,1,1,0,0,0,0
1438,3,1,14871,3,6,95,960,35,9,0,1,0,0,0,0,0,0,1,0,0
1439,3,1,5054,6,12,730,455,35,4,0,1,0,0,0,0,0,0,1,0,0
1440,1,2,12488,6,3,1155,740,55,30,0,1,0,0,0,0,0,0,1,0,0
1441,3,0,4823,4,15,1280,1105,55,2,0,0,1,0,0,0,1,0,0,0,0
1442,1,2,14483,3,9,1155,355,20,37,0,1,0,0,0,0,0,0,1,0,0
1443,1,2,11989,6,24,1155,1035,0,26,0,1,0,0,0,0,0,0,1,0,0
1444,4,1,16079,5,21,1140,1370,10,20,0,1,0,0,0,0,0,0,1,0,0
1445,4,1,13067,5,6,655,575,20,25,1,0,0,0,0,0,0,0,0,1,0
1446,3,1,6818,6,12,970,305,5,11,0,1,0,0,0,0,0,0,1,0,0
1447,4,1,13941,5,12,495,505,50,23,1,0,0,0,0,0,0,0,0,1,0
1448,6,1,12927,6,24,1140,540,0,10,0,1,0,0,0,0,0,0,1,0,0
1449,3,0,4804,5,15,50,1335,35,2,1,0,0,0,0,0,0,0,0,1,0
1450,4,1,5406,4,1,755,960,35,20,0,1,0,0,0,0,0,0,1,0,0
1451,3,1,7318,3,21,95,645,50,14,0,1,0,0,0,0,0,0,1,0,0
1452,3,0,3384,3,21,615,475,20,2,0,0,0,0,1,0,0,1,0,0,0
1453,0,1,11410,6,3,395,1245,50,9,0,1,0,0,0,0,0,0,1,0,0
1454,4,1,9134,3,15,795,345,30,7,0,0,0,0,0,1,1,0,0,0,0
1455,4,1,7832,3,21,1280,845,15,7,0,0,0,0,0,1,1,0,0,0,0
1456,4,1,14815,3,6,460,535,45,22,0,0,0,0,0,1,1,0,0,0,0
1457,3,0,4591,6,3,140,1410,50,2,0,0,1,0,0,0,1,0,0,0,0
1458,4,1,12373,5,9,1140,1370,10,20,0,1,0,0,0,0,0,0,1,0,0
1459,0,0,4284,3,9,520,350,50,2,0,0,0,0,0,1,1,0,0,0,0
1460,4,1,13941,5,18,280,345,55,22,1,0,0,0,0,0,0,0,0,1,0
1461,4,1,16289,3,9,1130,1045,25,25,0,1,0,0,0,0,0,0,1,0,0
1462,3,1,9165,6,24,275,1410,5,5,0,1,0,0,0,0,0,0,1,0,0
1463,4,0,8016,6,21,525,360,45,2,0,0,1,0,0,0,1,0,0,0,0
1464,0,1,5192,4,1,640,1360,0,12,1,0,0,0,0,0,0,0,0,1,0
1465,4,1,14939,6,9,495,1270,5,11,1,0,0,0,0,0,0,0,0,1,0
1466,4,1,25735,3,1,570,700,50,21,0,0,0,0,0,1,1,0,0,0,0
1467,6,1,14502,6,3,1140,600,0,9,0,1,0,0,0,0,0,0,1,0,0
1468,4,1,13817,3,12,745,1375,30,13,0,0,0,0,0,1,1,0,0,0,0
1469,4,1,14151,5,24,1080,575,25,8,1,0,0,0,0,0,0,0,0,1,0
1470,6,1,15077,3,6,1155,645,30,8,0,1,0,0,0,0,0,0,1,0,0
1471,6,1,12192,6,12,1140,540,0,10,0,1,0,0,0,0,0,0,1,0,0
1472,8,0,1965,5,21,885,795,30,1,0,0,0,1,0,0,0,0,0,0,1
1473,3,0,3850,5,18,615,475,20,2,0,0,0,0,1,0,0,1,0,0,0
1474,3,0,3175,6,1,1105,1015,30,1,0,0,0,1,0,0,0,0,0,0,1
1475,4,0,7229,5,21,1320,1135,5,3,0,0,1,0,0,0,1,0,0,0,0
1476,4,1,16079,5,27,1140,1155,45,23,0,1,0,0,0,0,0,0,1,0,0
1477,3,0,4392,3,27,640,550,30,1,0,0,0,1,0,0,0,0,0,0,1
1478,4,1,54826,3,18,45,1120,5,6,0,0,0,0,0,1,1,0,0,0,0
1479,4,2,10368,6,15,1140,580,20,9,0,1,0,0,0,0,0,0,1,0,0
1480,4,1,12898,5,27,1140,1370,10,20,0,1,0,0,0,0,0,0,1,0,0
1481,1,2,14960,5,1,750,1005,45,19,1,0,0,0,0,0,0,0,0,1,0
1482,3,1,6442,5,27,1350,515,55,13,0,1,0,0,0,0,0,0,1,0,0
1483,8,0,3597,5,21,635,500,15,2,0,0,0,0,1,0,0,1,0,0,0
1484,4,2,18804,6,6,1140,700,20,7,0,1,0,0,0,0,0,0,1,0,0
1485,10,0,6111,3,15,550,360,10,3,0,1,0,0,0,0,0,0,1,0,0
1486,3,0,6015,6,9,20,1265,15,3,0,1,0,0,0,0,0,0,1,0,0
1487,1,0,6121,5,18,970,800,50,2,0,0,1,0,0,0,1,0,0,0,0
1488,4,1,6287,5,24,1055,620,15,7,1,0,0,0,0,0,0,0,0,1,0
1489,4,0,7229,5,9,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
1490,3,1,6442,6,12,970,515,35,7,0,1,0,0,0,0,0,0,1,0,0
1491,4,0,4544,4,27,1090,915,55,2,0,0,1,0,0,0,1,0,0,0,0
1492,1,2,11542,6,12,825,565,20,28,1,0,0,0,0,0,0,0,0,1,0
1493,4,1,16079,5,21,265,1185,40,8,0,1,0,0,0,0,0,0,1,0,0
1494,6,1,6076,3,27,970,425,5,9,0,1,0,0,0,0,0,0,1,0,0
1495,1,2,10408,4,1,80,600,20,15,1,0,0,0,0,0,0,0,0,1,0
1496,1,2,8446,3,27,1155,355,20,37,0,1,0,0,0,0,0,0,1,0,0
1497,2,0,13663,3,1,640,465,55,2,0,0,0,0,0,1,1,0,0,0,0
1498,1,1,10671,5,15,495,1230,45,11,0,1,0,0,0,0,0,0,1,0,0
1499,0,0,3383,6,18,165,1435,50,2,0,0,1,0,0,0,1,0,0,0,0
1500,6,1,9021,5,9,90,620,10,15,0,1,0,0,0,0,0,0,1,0,0
1501,6,1,14533,5,18,1155,540,15,10,0,1,0,0,0,0,0,0,1,0,0
1502,4,2,11992,6,6,265,705,40,16,0,1,0,0,0,0,0,0,1,0,0
1503,3,0,3597,5,12,935,795,20,2,0,0,0,0,1,0,0,1,0,0,0
1504,3,0,4077,6,9,255,90,45,2,0,0,1,0,0,0,1,0,0,0,0
1505,6,1,9646,6,12,970,425,5,9,0,1,0,0,0,0,0,0,1,0,0
1506,8,0,3873,4,1,40,1340,20,2,1,0,0,0,0,0,0,0,0,1,0
1507,4,2,15129,5,9,1140,1150,50,23,0,1,0,0,0,0,0,0,1,0,0
1508,3,1,6104,6,9,90,1050,0,8,0,1,0,0,0,0,0,0,1,0,0
1509,4,2,16022,3,6,265,1150,15,33,0,1,0,0,0,0,0,0,1,0,0
1510,4,1,10562,3,9,30,585,45,14,0,0,0,0,0,1,1,0,0,0,0
1511,1,1,10945,3,9,565,365,20,27,0,1,0,0,0,0,0,0,1,0,0
1512,8,0,3873,5,27,685,540,25,2,1,0,0,0,0,0,0,0,0,1,0
1513,4,0,1840,3,27,265,175,30,1,0,0,0,1,0,0,0,0,0,0,1
1514,3,1,9585,3,3,720,295,5,7,0,1,0,0,0,0,0,0,1,0,0
1515,4,0,3210,5,18,1265,1175,30,1,0,0,0,1,0,0,0,0,0,0,1
1516,3,1,6147,5,9,1200,910,50,4,0,1,0,0,0,0,0,0,1,0,0
1517,4,1,7341,5,9,1415,1020,35,6,1,0,0,0,0,0,0,0,0,1,0
1518,1,1,8372,5,21,1155,540,15,10,0,1,0,0,0,0,0,0,1,0,0
1519,6,1,10877,6,27,1140,450,30,11,0,1,0,0,0,0,0,0,1,0,0
1520,1,2,10441,5,9,1155,1320,15,21,0,1,0,0,0,0,0,0,1,0,0
1521,3,1,13611,3,6,1260,285,15,16,0,1,0,0,0,0,0,0,1,0,0
1522,4,1,11087,3,9,645,535,50,25,0,0,0,0,0,1,1,0,0,0,0
1523,4,1,5963,3,27,1185,1155,30,24,0,1,0,0,0,0,0,0,1,0,0
1524,3,0,3597,5,24,935,795,20,2,0,0,0,0,1,0,0,1,0,0,0
1525,4,1,8529,6,12,605,1135,10,15,1,0,0,0,0,0,0,0,0,1,0
1526,6,1,10678,6,12,1140,295,5,14,0,1,0,0,0,0,0,0,1,0,0
1527,3,1,8285,3,27,1260,505,35,12,0,1,0,0,0,0,0,0,1,0,0
1528,4,1,18371,6,12,755,135,20,10,0,1,0,0,0,0,0,0,1,0,0
1529,4,1,12692,6,6,585,1225,20,13,1,0,0,0,0,0,0,0,0,1,0
1530,3,0,4423,4,24,530,365,45,2,0,0,1,0,0,0,1,0,0,0,0
1531,4,0,7229,6,9,1370,1190,0,3,0,0,1,0,0,0,1,0,0,0,0
1532,3,0,6144,3,3,140,1410,50,2,0,0,0,0,0,1,1,0,0,0,0
1533,4,2,10919,6,1,265,405,40,21,0,1,0,0,0,0,0,0,1,0,0
1534,3,0,4148,3,27,5,1285,40,2,1,0,0,0,0,0,0,0,0,1,0
1535,8,0,3873,3,24,1400,1230,50,2,0,0,0,0,0,1,1,0,0,0,0
1536,4,2,11702,3,21,1130,580,10,9,0,1,0,0,0,0,0,0,1,0,0
1537,3,1,14871,3,6,95,1030,25,8,0,1,0,0,0,0,0,0,1,0,0
1538,1,2,11234,3,18,670,405,25,28,0,0,0,0,0,1,1,0,0,0,0
1539,3,1,6938,6,6,1350,860,10,8,0,1,0,0,0,0,0,0,1,0,0
1540,3,1,6093,6,12,1260,510,30,12,0,1,0,0,0,0,0,0,1,0,0
1541,3,0,3943,5,15,780,610,50,2,0,0,1,0,0,0,1,0,0,0,0
1542,4,0,8040,6,6,710,620,30,1,0,0,0,1,0,0,0,0,0,0,1
1543,4,2,15129,5,9,755,1385,30,13,0,1,0,0,0,0,0,0,1,0,0
1544,8,0,3597,5,9,1205,1065,20,2,0,0,0,0,1,0,0,1,0,0,0
1545,10,1,8610,5,6,1130,430,40,11,1,0,0,0,0,0,0,0,0,1,0
1546,4,1,13067,5,1,1415,1020,35,6,1,0,0,0,0,0,0,0,0,1,0
1547,8,0,4991,5,9,740,570,50,2,0,0,1,0,0,0,1,0,0,0,0
1548,8,1,4649,4,1,1220,905,15,5,1,0,0,0,0,0,0,0,0,1,0
1549,8,0,3597,5,18,635,500,15,2,0,0,0,0,1,0,0,1,0,0,0
1550,4,1,12898,5,21,1140,480,0,11,0,1,0,0,0,0,0,0,1,0,0
1551,4,2,9296,3,27,1185,380,25,37,0,1,0,0,0,0,0,0,1,0,0
1552,3,0,8855,3,3,1185,1015,50,2,0,0,0,0,0,1,1,0,0,0,0
1553,4,1,10262,6,6,1140,1310,10,21,0,1,0,0,0,0,0,0,1,0,0
1554,3,0,3943,6,24,530,365,45,2,0,0,1,0,0,0,1,0,0,0,0
1555,6,1,9001,6,3,1155,770,25,6,0,1,0,0,0,0,0,0,1,0,0
1556,6,1,7670,5,18,90,620,10,15,0,1,0,0,0,0,0,0,1,0,0
1557,6,1,7530,6,3,90,1065,45,7,0,1,0,0,0,0,0,0,1,0,0
1558,3,1,8443,5,1,855,560,55,4,1,0,0,0,0,0,0,0,0,1,0
1559,8,1,5351,4,1,680,365,15,5,0,1,0,0,0,0,0,0,1,0,0
1560,10,0,6688,3,21,550,360,10,3,0,1,0,0,0,0,0,0,1,0,0
1561,4,1,11087,3,12,1150,1235,35,22,0,0,0,0,0,1,1,0,0,0,0
1562,1,2,7664,3,15,725,350,15,30,0,0,0,0,0,1,1,0,0,0,0
1563,3,1,4775,4,15,1230,915,15,5,1,0,0,0,0,0,0,0,0,1,0
1564,2,0,3514,6,27,1075,920,35,2,1,0,0,0,0,0,0,0,0,1,0
1565,4,2,13376,6,24,265,405,40,21,0,1,0,0,0,0,0,0,1,0,0
1566,4,2,14300,6,12,755,490,25,28,0,1,0,0,0,0,0,0,1,0,0
1567,1,1,7480,6,27,565,1240,45,12,0,1,0,0,0,0,0,0,1,0,0
1568,3,0,2227,5,12,1370,1280,30,1,0,0,0,1,0,0,0,0,0,0,1
1569,0,1,7452,5,18,1345,475,30,14,0,1,0,0,0,0,0,0,1,0,0
1570,0,0,4409,5,24,775,620,35,2,1,0,0,0,0,0,0,0,0,1,0
1571,1,2,4647,4,3,665,550,55,25,1,0,0,0,0,0,0,0,0,1,0
1572,8,0,3332,3,21,725,570,35,2,0,0,0,0,1,0,0,1,0,0,0
1573,1,1,6902,3,27,1155,600,15,9,0,1,0,0,0,0,0,0,1,0,0
1574,0,1,6857,6,6,1410,1195,35,3,1,0,0,0,0,0,0,0,0,1,0
1575,4,1,12373,5,9,265,1155,10,9,0,1,0,0,0,0,0,0,1,0,0
1576,6,1,11789,6,15,1140,700,20,7,0,1,0,0,0,0,0,0,1,0,0
1577,1,2,13039,5,9,460,1035,25,14,0,1,0,0,0,0,0,0,1,0,0
1578,4,1,11087,3,12,685,1375,30,12,0,0,0,0,0,1,1,0,0,0,0
1579,10,1,9345,5,18,1405,1220,5,27,1,0,0,0,0,0,0,0,0,1,0
1580,8,0,1965,6,24,15,1365,30,1,0,0,0,1,0,0,0,0,0,0,1
1581,3,1,6093,6,3,1260,450,30,13,0,1,0,0,0,0,0,0,1,0,0
1582,4,1,11841,6,9,495,1135,20,13,1,0,0,0,0,0,0,0,0,1,0
1583,4,1,9663,5,9,605,1270,55,12,1,0,0,0,0,0,0,0,0,1,0
1584,4,1,14714,6,6,1140,1155,45,23,0,1,0,0,0,0,0,0,1,0,0
1585,4,1,8529,6,12,1355,1135,40,27,1,0,0,0,0,0,0,0,0,1,0
1586,3,1,5073,4,6,730,455,35,4,0,1,0,0,0,0,0,0,1,0,0
1587,4,0,7229,4,24,610,430,0,3,0,0,1,0,0,0,1,0,0,0,0
1588,1,1,9194,6,6,1155,600,15,9,0,1,0,0,0,0,0,0,1,0,0
1589,6,1,11789,6,12,1140,700,20,7,0,1,0,0,0,0,0,0,1,0,0
1590,8,0,2017,6,12,885,795,30,1,0,0,0,1,0,0,0,0,0,0,1
1591,1,2,15894,6,6,750,870,0,22,1,0,0,0,0,0,0,0,0,1,0
1592,3,0,3419,5,9,255,90,45,2,0,0,1,0,0,0,1,0,0,0,0
1593,4,2,10368,6,9,265,330,55,22,0,1,0,0,0,0,0,0,1,0,0
1594,3,1,6027,4,24,1200,910,50,4,0,1,0,0,0,0,0,0,1,0,0
1595,1,1,7480,5,18,565,1240,45,12,0,1,0,0,0,0,0,0,1,0,0
1596,8,1,7189,6,12,1035,515,40,8,1,0,0,0,0,0,0,0,0,1,0
1597,1,0,7276,3,15,765,600,45,2,0,0,0,0,0,1,1,0,0,0,0
1598,4,1,15764,3,6,265,690,55,16,0,1,0,0,0,0,0,0,1,0,0
1599,4,1,14714,6,6,265,1155,10,9,0,1,0,0,0,0,0,0,1,0,0
1600,6,1,7888,5,21,90,1020,30,8,0,1,0,0,0,0,0,0,1,0,0
1601,4,1,10262,6,6,265,480,25,20,0,1,0,0,0,0,0,0,1,0,0
1602,4,2,15318,5,18,265,1200,25,8,0,1,0,0,0,0,0,0,1,0,0
1603,4,1,5608,5,1,1055,620,15,7,1,0,0,0,0,0,0,0,0,1,0
1604,4,1,12681,4,1,1095,505,50,9,1,0,0,0,0,0,0,0,0,1,0
1605,1,2,9417,3,6,565,1035,10,16,0,1,0,0,0,0,0,0,1,0,0
1606,6,1,17057,3,3,1260,425,55,13,0,1,0,0,0,0,0,0,1,0,0
1607,6,1,12537,3,27,1260,780,0,8,0,1,0,0,0,0,0,0,1,0,0
1608,1,2,10651,5,27,1155,1320,15,21,0,1,0,0,0,0,0,0,1,0,0
1609,10,0,6741,6,1,550,360,10,3,0,1,0,0,0,0,0,0,1,0,0
1610,4,1,10844,5,24,1355,1200,35,26,1,0,0,0,0,0,0,0,0,1,0
1611,1,2,13381,5,27,1155,865,50,28,0,1,0,0,0,0,0,0,1,0,0
1612,3,0,4423,4,6,530,365,45,2,0,0,1,0,0,0,1,0,0,0,0
1613,4,0,5678,5,27,1265,1175,30,1,0,0,0,1,0,0,0,0,0,0,1
1614,4,2,12719,5,21,755,575,0,27,0,1,0,0,0,0,0,0,1,0,0
1615,3,1,5054,6,1,730,455,35,4,0,1,0,0,0,0,0,0,1,0,0
